#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
2316,J2202+5040,0.745379,4.44e-15,76.10,*,2.963,2.963,1.84e+12,
2317,J2204+2700,0.084703,1.31e-19,35.07,DDH,3.195,3.195,3.37e+09,
2318,J2205+1444,0.938014,9.00e-16,36.72,*,6.046,6.046,9.30e+11,
2319,J2206+6151,0.322674,3.97e-16,168.80,*,4.099,4.099,3.62e+11,
2320,J2208+4056,0.636957,5.28e-15,11.84,*,0.751,0.751,1.86e+12,
2321,J2208+4610,0.642506,2.68e-18,63.41,BT,3.107,3.107,4.20e+10,
2322,J2208+5500,0.933163,6.99e-15,105.21,*,3.030,3.030,2.58e+12,
2323,J2212+2933,1.004593,4.95e-16,74.52,*,25.000,25.000,7.14e+11,
2324,J2214+5357,0.751195,6.05e-16,160.66,*,3.665,3.665,6.82e+11,
2325,J2215+1538,0.374198,2.37e-15,29.24,*,3.153,3.153,9.52e+11,
2326,J2215+4524,2.723050,5.56e-15,18.50,*,1.131,1.131,3.94e+12,
2327,J2216+5759,0.419102,6.90e-14,176.00,*,3.588,3.588,5.44e+12,
2328,J2217+5733,1.056844,6.47e-16,130.67,*,3.129,3.129,8.37e+11,
2329,J2219+4754,0.538469,2.77e-15,43.50,*,2.383,2.383,1.23e+12,
2330,J2222+2923,0.281399,6.17e-18,49.41,*,7.634,7.634,4.22e+10,
2331,J2222-0137,0.032818,5.80e-19,3.28,ELL1H+,0.269,0.267,4.42e+09,
2332,J2225+6535,0.682542,9.66e-15,36.44,*,0.900,1.881,2.60e+12,
2333,J2228+6447,1.892982,6.70e-16,193.60,*,6.853,6.853,1.14e+12,
2334,J2229+6114,0.051648,7.74e-14,205.10,*,3.000,5.048,2.02e+12,
2335,J2229+6205,0.443055,2.26e-15,124.64,*,3.013,3.013,1.01e+12,
2336,J2234+2114,1.358745,2.22e-16,35.08,*,4.472,4.472,5.56e+11,
2337,J2235+1506,0.059767,1.58e-19,18.09,*,1.540,1.540,3.11e+09,
2338,J2236+4929,0.931715,1.97e-16,42.90,*,2.280,2.280,4.33e+11,
2339,J2237+2828,1.077395,8.13e-16,38.10,*,3.997,3.997,9.47e+11,
2340,J2238+5015,0.560097,4.00e-17,28.30,*,1.656,1.656,1.51e+11,
2341,J2238+5903,0.162734,9.70e-14,*,*,2.830,*,4.02e+12,
2342,J2240+5832,0.139935,1.54e-14,263.50,*,7.275,7.275,1.48e+12,
2343,J2241+6941,0.855401,2.69e-15,67.67,*,2.548,2.548,1.54e+12,
2344,J2242+6346,0.460958,5.34e-15,91.80,*,2.644,2.644,1.59e+12,
2345,J2242+6950,1.664501,4.82e-15,40.86,*,2.008,2.008,2.87e+12,
2346,J2243+1518,0.596799,1.13e-16,39.45,*,25.000,25.000,2.62e+11,
2347,J2248-0101,0.477233,6.59e-16,29.03,*,3.500,25.000,5.68e+11,
2348,J2251-3711,12.122565,1.31e-14,12.12,*,1.344,1.344,1.27e+13,
2349,J2252+2455,1.797908,1.11e-15,34.88,*,4.077,4.077,1.43e+12,
2350,J2253+1516,0.792236,6.38e-17,29.20,*,3.885,3.885,2.27e+11,
2351,J2257+5909,0.368246,5.75e-15,151.08,*,3.000,3.151,1.47e+12,
2352,J2301+5852,6.979071,4.71e-13,*,*,3.300,*,5.80e+13,
2353,J2302+6028,1.206404,2.04e-15,156.70,*,3.166,3.166,1.59e+12,
2354,J2305+3100,1.575886,2.89e-15,49.58,*,4.400,25.000,2.16e+12,
2355,J2305+4707,1.066371,5.69e-16,62.07,BT,3.159,3.159,7.88e+11,
2356,J2307+2225,0.535829,8.70e-18,7.02,*,0.493,0.493,6.91e+10,
2357,J2308+5547,0.475068,1.99e-16,46.54,*,2.075,2.075,3.12e+11,
2358,J2310+6706,1.944789,7.56e-17,97.70,*,2.665,2.665,3.88e+11,
2359,J2312+6931,0.813375,6.28e-16,71.60,*,2.436,2.436,7.24e+11,
2360,J2313+4253,0.349434,1.12e-16,17.28,*,1.060,1.108,2.01e+11,
2361,J2316+5619,1.061600,1.26e-15,72.70,*,2.435,2.435,1.17e+12,
2362,J2317+2149,1.444653,1.05e-15,20.87,*,1.700,1.799,1.24e+12,
2363,J2319+4919_P,0.544065,1.26e-16,87.20,*,4.117,4.117,2.65e+11,
2364,J2319+6411,0.216018,1.63e-16,246.10,*,6.849,6.849,1.90e+11,
2365,J2321+6024,2.256488,7.04e-15,94.59,*,2.700,2.513,4.03e+12,
2366,J2323+1214,3.759491,1.85e-15,29.00,*,25.000,25.000,2.67e+12,
2367,J2324-6054,2.347489,2.58e-15,15.17,*,1.348,1.348,2.49e+12,
2368,J2325+6316,1.436310,2.83e-15,197.37,*,4.855,4.855,2.04e+12,
2369,J2325-0530,0.868735,1.03e-15,14.97,*,1.495,1.495,9.57e+11,
2370,J2326+6113,0.233652,3.53e-16,122.61,*,2.733,2.733,2.90e+11,
2371,J2326+6243,0.266149,2.57e-15,193.61,*,4.411,4.411,8.37e+11,
2372,J2329+4743,0.728409,1.60e-17,44.01,*,2.396,2.396,1.09e+11,
